reg;semaine_glissante;pop;P;T;nom_region
01;2020-08-08-2020-08-14;376879;172;4546;Guadeloupe
01;2020-08-09-2020-08-15;376879;175;4496;Guadeloupe
01;2020-08-10-2020-08-16;376879;179;4487;Guadeloupe
01;2020-08-11-2020-08-17;376879;236;4851;Guadeloupe
01;2020-08-12-2020-08-18;376879;270;5424;Guadeloupe
01;2020-08-13-2020-08-19;376879;315;5869;Guadeloupe
01;2020-08-14-2020-08-20;376879;335;5969;Guadeloupe
01;2020-08-15-2020-08-21;376879;334;5943;Guadeloupe
01;2020-08-16-2020-08-22;376879;331;6115;Guadeloupe
01;2020-08-17-2020-08-23;376879;334;6207;Guadeloupe
01;2020-08-18-2020-08-24;376879;409;6527;Guadeloupe
01;2020-08-19-2020-08-25;376879;481;6542;Guadeloupe
01;2020-08-20-2020-08-26;376879;548;6756;Guadeloupe
01;2020-08-21-2020-08-27;376879;614;6824;Guadeloupe
01;2020-08-22-2020-08-28;376879;634;6987;Guadeloupe
01;2020-08-23-2020-08-29;376879;646;6959;Guadeloupe
01;2020-08-24-2020-08-30;376879;654;6886;Guadeloupe
01;2020-08-25-2020-08-31;376879;732;6392;Guadeloupe
01;2020-08-26-2020-09-01;376879;756;6176;Guadeloupe
01;2020-08-27-2020-09-02;376879;813;5723;Guadeloupe
01;2020-08-28-2020-09-03;376879;828;5672;Guadeloupe
01;2020-08-29-2020-09-04;376879;880;5488;Guadeloupe
01;2020-08-30-2020-09-05;376879;882;5348;Guadeloupe
01;2020-08-31-2020-09-06;376879;879;5304;Guadeloupe
01;2020-09-01-2020-09-07;376879;851;5277;Guadeloupe
01;2020-09-02-2020-09-08;376879;907;5248;Guadeloupe
01;2020-09-03-2020-09-09;376879;896;5401;Guadeloupe
01;2020-09-04-2020-09-10;376879;945;5337;Guadeloupe
01;2020-09-05-2020-09-11;376879;924;5250;Guadeloupe
01;2020-09-06-2020-09-12;376879;953;5253;Guadeloupe
01;2020-09-07-2020-09-13;376879;964;5262;Guadeloupe
01;2020-09-08-2020-09-14;376879;1016;5464;Guadeloupe
01;2020-09-09-2020-09-15;376879;1025;5621;Guadeloupe
01;2020-09-10-2020-09-16;376879;1080;5674;Guadeloupe
01;2020-09-11-2020-09-17;376879;1105;5658;Guadeloupe
01;2020-09-12-2020-09-18;376879;1142;5687;Guadeloupe
01;2020-09-13-2020-09-19;376879;1120;5646;Guadeloupe
01;2020-09-14-2020-09-20;376879;1134;5707;Guadeloupe
01;2020-09-15-2020-09-21;376879;1179;5607;Guadeloupe
01;2020-09-16-2020-09-22;376879;1190;5621;Guadeloupe
01;2020-09-17-2020-09-23;376879;1128;5444;Guadeloupe
01;2020-09-18-2020-09-24;376879;1092;5496;Guadeloupe
